,segment_id_beg,segment_id_end,longitude,latitude,h_te_best_fit,h_te_uncertainty,h_canopy,h_canopy_uncertainty,track_id,beam,file_name
102,1900250,1900254,48.80078887939453,-19.265010833740234,107.76738,0.61011446,8.72464,0.7910752,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
103,1900290,1900294,48.800025939941406,-19.2578125,223.56067,7.7168565,19.788239,7.2433777,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
104,1900295,1900299,48.7999267578125,-19.256912231445312,231.01817,46.88154,15.888016,16.149006,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
105,1900320,1900324,48.7994499206543,-19.252412796020508,275.3193,9.732508,10.244843,10.724737,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
107,1900385,1900389,48.79821395874024,-19.24071502685547,316.2778,29.317003,11.632172,16.326971,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
109,1900546,1900550,48.79520034790039,-19.21173477172852,303.03873,1.3234012,9.273071,1.7639749,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
110,1900551,1900555,48.79510498046875,-19.21083641052246,304.28436,1.6928787,3.4925842,2.420899,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
111,1900596,1900600,48.79427337646485,-19.202735900878903,274.93344,1.9901791,10.253906,2.6502213,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
112,1900602,1900605,48.7941780090332,-19.20183563232422,270.7501,1.7794036,6.73172,2.4834616,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
115,1901781,1901785,48.77195358276367,-18.989444732666016,177.9332,5.6594024,10.868179,2.3746717,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
116,1901806,1901810,48.77149200439453,-18.98494529724121,175.89374,0.47750247,5.2521057,0.6687003,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
117,1901811,1901815,48.77140426635742,-18.984045028686523,178.31093,7.670802,10.927216,6.941274,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
121,1901941,1901945,48.76898193359375,-18.960641860961918,213.52771,1.6962879,13.608917,2.391483,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
122,1901946,1901950,48.76889419555664,-18.959741592407227,216.13394,0.9958925,15.050705,1.280633,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
123,1901951,1901955,48.76879501342773,-18.95884323120117,220.62903,7.0584893,33.613434,9.652992,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
124,1901986,1901990,48.76813125610352,-18.952543258666992,214.13167,18.16394,15.250153,2.615942,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
125,1901991,1901995,48.76803588867188,-18.951642990112305,233.42601,22.399271,24.331253,11.789168,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
126,1902392,1902396,48.76045227050781,-18.879467010498047,329.87454,8.227818,12.974915,10.780474,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
128,1902422,1902426,48.7598991394043,-18.874067306518555,456.67453,114.44626,23.625183,27.342894,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
129,1902427,1902431,48.75980758666992,-18.873167037963867,465.72552,30.833382,6.495819,13.182788,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
130,1902432,1902436,48.75971603393555,-18.87226676940918,471.2609,18.13052,7.5135803,15.5584135,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
